カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
Lv42 ランス	ランス	４２	２４歳	１７３ｃｍ	６５ｋｇ	キースギルド所属 冒険者	剣２，冒険２	強きをくじくが弱きもくじく 気に入らない者切捨て御免	乱世の奸雄、治世の暴漢 全ての美女は俺様のもの	世界の女を手中にせんと、今日も今日とて東奔西走	"\"""	ご存知、鬼畜戦士こと本作の主人公！	Lv42 ランス	Lv35 シィル			
													Lv45 ランス				
													Lv55 ランス				
													Lv65 ランス				
													全裸 ランス				
Lv45 ランス	ランス	４５	２４歳	１７３ｃｍ	６５ｋｇ	キースギルド所属 冒険者	剣２，冒険２	ランス人生の目標	・各国の姫とセックス（←Complete！）	・シィル解凍（←Complete！）	・全ての女の子モンスターとセックス（←NeW！）	・魔人ホーネットとセックス（←NeW！）	Lv42 ランス	Lv35 シィル			
													Lv45 ランス				
													Lv55 ランス				
													Lv65 ランス				
													全裸 ランス				
Lv55 ランス	ランス	５５	２４歳	１７３ｃｍ	６５ｋｇ	キースギルド所属 冒険者	剣２，冒険２	かわいい女の子とエッチするためならば	ランスは、どんな手段もいとわない	"\"""	時には地道に手数で勝負	優秀な戦士は積み重ねる手間を惜しまないのだ	Lv42 ランス	Lv35 シィル			
													Lv45 ランス				
													Lv55 ランス				
													Lv65 ランス				
													全裸 ランス				
Lv65 ランス	ランス	６５	２４歳	１７３ｃｍ	６５ｋｇ	キースギルド所属 冒険者	剣２，冒険２	ランスアタックは本人も理屈がよく分かっていないが	とにかくすごい威力を放つ必殺技だ！	そしてランスの力がさらに鍛え上げられたとき	究極の必殺技、鬼畜アタックが開眼するのだ！	理屈はもちろん分からない！	Lv42 ランス	Lv35 シィル			
													Lv45 ランス				
													Lv55 ランス				
													Lv65 ランス				
													全裸 ランス				
Lv85 ランス	ランス	８５	２４歳	１７３ｃｍ	６５ｋｇ	キースギルド所属 冒険者	剣２，冒険２	この世界の生物には皆、才能限界として	強くなれる上限が個々に定まっている	しかし何ゆえか、ランスにはこの才能限界が存在しない	この男は理論上、戦えば戦うほどに、際限なく	無限に強くなっていくのだ！理論上は！	Lv42 ランス	Lv35 シィル			
													Lv45 ランス				
													Lv55 ランス				
													Lv65 ランス				
													Lv85 ランス				
