クエストデータ																																											
string Node Prefix	string 物語	int 終了	string 背景	string 地名	string 音楽	string フラグ	string 画像Ａ	string 画像Ｂ	string 戦闘	string 処理	string 顔画像	string 説明	string 物語２	string 物語３	string コルルンサ	string 秘書任命	string 戦闘２	string 分岐	string 条件書換前	string ！条件書換前	string 割り込み	string 割り込み背景	string 秘書登録	string 物語４	string 物語５	string 物語６	string 物語７	string 物語８	string ムービー９	string 物語１０	string カード.values	string ムービー	string 戦闘４	string 条件書換後	string 条件	string ！条件	string ムービー８	string ワープ	string フラグ２	string フラグ３	string ！条件書換後	int デッキ編集	string 目的
アフター／挨拶.００１	９０１／アフター／入り口	1																																									
アフター／初期化.００１		1																																									
アフター／説明.００１	９０３／アフター／説明初	1																																									
アフター／説明汎用.００１	９０４／アフター／説明汎用	1																																									
ｖｓサテラ			リーザス平原	ポポンのお顔は真っ黒け	フィールド／僻地夜	難易度１５																																					
ｖｓサテラ.００１							リーザス平原																																				
ｖｓサテラ.００２							リーザス平原	モンスター印	m55石像																																		
ｖｓサテラ.００３							リーザス平原	モンスター印	m55中ボスＣ																																		
ｖｓサテラ.００４							リーザス平原	魔人印	m55サテラ／Ｘ																																		
ｖｓサテラ.００５	９００／アフター／クエストクリア	1					リーザス平原	その後の戦局																																			
ｖｓホーネット			謎の島	自動車事故に逢いました、飛行機事故にも合いました	フィールド／僻地夜	難易度２０																																					
ｖｓホーネット.００１							謎の島	"\"""																																			
ｖｓホーネット.００２							謎の島	魔人印	m55ハウゼル＋サイゼル／Ｘ																																		
ｖｓホーネット.００３							謎の島	魔人印	m55ホーネット／Ｘ																																		
ｖｓホーネット.００４	９００／アフター／クエストクリア	1					謎の島	その後の戦局																																			
ｖｓ魔王美樹			湿地帯	ツギガセ	フィールド／僻地夜	難易度２２																																					
ｖｓ魔王美樹.００１							湿地帯	"\"""																																			
ｖｓ魔王美樹.００２							湿地帯	魔人印	m55健太郎／Ｘ																																		
ｖｓ魔王美樹.００３							湿地帯	魔人印	m55魔王美樹／Ｘ																																		
ｖｓ魔王美樹.００４	９００／アフター／クエストクリア	1					湿地帯	その後の戦局																																			
ｖｓストーンＧＥＸ１			人工迷宮	択捉島の秘密基地	フィールド／僻地夜	難易度２０																																					
ｖｓストーンＧＥＸ１.００１							人工迷宮	"\"""																																			
ｖｓストーンＧＥＸ１.００２							人工迷宮	中ボス印	m55ストーンＧＥＸ１																																		
ｖｓストーンＧＥＸ１.００３	９００／アフター／クエストクリア	1					人工迷宮	その後の戦局																																			
ｖｓストーンＧＥＸ２			人工迷宮	南樺太の秘密基地	フィールド／僻地夜	難易度２０																																					
ｖｓストーンＧＥＸ２.００１							人工迷宮	"\"""																																			
ｖｓストーンＧＥＸ２.００２							人工迷宮	中ボス印	m55ストーンＧＥＸ２																																		
