マップデータ				
string Node Prefix	int サイズ.values	int マップ位置.values	string 種別	int 番号
★ハニーテスト	25			
	30			
★ハニーテスト.データ.０００１		12	箱	1
		15		
★ハニーテスト.データ.０００２		13	道（─）	
		15		
★ハニーテスト.データ.０００３		14	道（─）	
		15		
★ハニーテスト.データ.０００４		15	箱	20
		15		
★ハニーテスト.データ.０００５		16	道（─）	
		15		
★ハニーテスト.データ.０００６		17	道（─）	
		15		
★ハニーテスト.データ.０００７		18	箱	30
		15		
★ハニーテスト.データ.０００８		19	道（─）	
		15		
★ハニーテスト.データ.０００９		20	道（─）	
		15		
★ハニーテスト.データ.００１０		21	箱	40
		15		
★ハニーテスト.データ.００１１		22	道（─）	
		15		
★ハニーテスト.データ.００１２		23	道（─）	
		15		
★ハニーテスト.データ.００１３		24	箱	50
		15		
２０海里作戦	193			
	30			
２０海里作戦.データ.０００１		4	箱	1
		15		
２０海里作戦.データ.０００２		5	道（─）	
		15		
２０海里作戦.データ.０００３		6	道（┌）	
		14		
２０海里作戦.データ.０００４		6	道（┘）	
		15		
２０海里作戦.データ.０００５		7	道（─）	
		14		
２０海里作戦.データ.０００６		8	箱	2
		14		
２０海里作戦.データ.０００７		9	道（─）	
		14		
２０海里作戦.データ.０００８		10	箱	3
		14		
２０海里作戦.データ.０００９		11	道（─）	
		14		
２０海里作戦.データ.００１０		12	箱	4
		14		
２０海里作戦.データ.００１１		13	道（─）	
		14		
２０海里作戦.データ.００１２		14	道（─）	
		14		
２０海里作戦.データ.００１３		15	道（┌）	
		13		
２０海里作戦.データ.００１４		15	道（┘）	
		14		
２０海里作戦.データ.００１５		16	箱	100
		13		
２０海里作戦.データ.００１６		17	道（─）	
		13		
２０海里作戦.データ.００１７		18	道（┌）	
		12		
２０海里作戦.データ.００１８		18	道（┘）	
		13		
２０海里作戦.データ.００１９		19	道（─）	
		12		
２０海里作戦.データ.００２０		20	箱	105
		12		
２０海里作戦.データ.００２１		21	道（─）	
		12		
２０海里作戦.データ.００２２		22	道（─）	
		12		
２０海里作戦.データ.００２３		23	道（┐）	
		12		
２０海里作戦.データ.００２４		23	道（└）	
		13		
２０海里作戦.データ.００２５		24	箱	110
		13		
２０海里作戦.データ.００２６		25	道（─）	
		13		
２０海里作戦.データ.００２７		26	道（─）	
		13		
２０海里作戦.データ.００２８		27	道（─）	115
		13		
２０海里作戦.データ.００２９		28	道（┌）	
		12		
２０海里作戦.データ.００３０		28	道（┘）	
		13		
２０海里作戦.データ.００３１		29	箱	116
		12		
２０海里作戦.データ.００３２		30	道（─）	
		12		
２０海里作戦.データ.００３３		31	道（─）	
		12		
２０海里作戦.データ.００３４		32	道（┌）	
		11		
２０海里作戦.データ.００３５		32	箱	120
		12		
２０海里作戦.データ.００３６		33	道（─）	
		11		
２０海里作戦.データ.００３７		33	道（─）	
		12		
２０海里作戦.データ.００３８		34	道（─）	
		11		
２０海里作戦.データ.００３９		34	道（┐）	
		12		
２０海里作戦.データ.００４０		34	箱	140
		13		
２０海里作戦.データ.００４１		35	道（─）	130
		11		
２０海里作戦.データ.００４２		35	道（─）	
		13		
２０海里作戦.データ.００４３		35	箱	131
		14		
２０海里作戦.データ.００４４		36	道（─）	
		11		
２０海里作戦.データ.００４５		36	箱	142
		13		
２０海里作戦.データ.００４６		37	箱	132
		11		
２０海里作戦.データ.００４７		37	道（─）	
		13		
２０海里作戦.データ.００４８		38	道（─）	
		11		
２０海里作戦.データ.００４９		38	道（─）	
		13		
２０海里作戦.データ.００５０		39	道（┐）	
		11		
２０海里作戦.データ.００５１		39	道（│）	
		12		
２０海里作戦.データ.００５２		39	箱	200
		13		
２０海里作戦.データ.００５３		40	道（─）	
		13		
２０海里作戦.データ.００５４		41	箱	201
		13		
２０海里作戦.データ.００５５		42	道（─）	
		13		
２０海里作戦.データ.００５６		43	道（─）	
		13		
２０海里作戦.データ.００５７		44	道（─）	205
		13		
２０海里作戦.データ.００５８		45	道（┌）	
		12		
２０海里作戦.データ.００５９		45	道（┘）	
		13		
２０海里作戦.データ.００６０		46	箱	206
		12		
２０海里作戦.データ.００６１		47	道（─）	
		12		
２０海里作戦.データ.００６２		48	道（─）	
		12		
２０海里作戦.データ.００６３		49	道（┌）	
		10		
２０海里作戦.データ.００６４		49	道（│）	
		11		
２０海里作戦.データ.００６５		49	箱	210
		12		
２０海里作戦.データ.００６６		50	道（─）	
		10		
２０海里作戦.データ.００６７		50	道（─）	
		12		
２０海里作戦.データ.００６８		51	箱	215
		10		
２０海里作戦.データ.００６９		51	道（─）	
		12		
２０海里作戦.データ.００７０		52	道（┌）	
		8		
２０海里作戦.データ.００７１		52	道（│）	
		9		
２０海里作戦.データ.００７２		52	道（┘）	
		10		
２０海里作戦.データ.００７３		52	道（─）	
		12		
２０海里作戦.データ.００７４		53	道（─）	
		8		
２０海里作戦.データ.００７５		53	道（─）	
		12		
２０海里作戦.データ.００７６		54	道（┌）	
		7		
２０海里作戦.データ.００７７		54	箱	220
		8		
２０海里作戦.データ.００７８		54	道（─）	
		12		
２０海里作戦.データ.００７９		55	道（┌）	
		6		
２０海里作戦.データ.００８０		55	道（┘）	
		7		
２０海里作戦.データ.００８１		55	道（─）	
		8		
２０海里作戦.データ.００８２		55	箱	246
		12		
２０海里作戦.データ.００８３		56	道（─）	
		6		
２０海里作戦.データ.００８４		56	道（─）	
		8		
２０海里作戦.データ.００８５		56	道（─）	
		12		
２０海里作戦.データ.００８６		57	道（┌）	
		4		
２０海里作戦.データ.００８７		57	道（│）	
		5		
２０海里作戦.データ.００８８		57	箱	230
		6		
２０海里作戦.データ.００８９		57	道（┐）	
		8		
２０海里作戦.データ.００９０		57	道（│）	
		9		
２０海里作戦.データ.００９１		57	箱	244
		10		
２０海里作戦.データ.００９２		57	道（─）	
		12		
２０海里作戦.データ.００９３		58	道（─）	
		4		
２０海里作戦.データ.００９４		58	道（─）	
		10		
２０海里作戦.データ.００９５		58	道（─）	
		12		
２０海里作戦.データ.００９６		59	箱	240
		4		
２０海里作戦.データ.００９７		59	道（┐）	
		10		
２０海里作戦.データ.００９８		59	道（│）	
		11		
２０海里作戦.データ.００９９		59	道（┴）	
		12		
２０海里作戦.データ.０１００		60	道（┌）	
		3		
２０海里作戦.データ.０１０１		60	道（┘）	
		4		
２０海里作戦.データ.０１０２		60	道（─）	
		12		
２０海里作戦.データ.０１０３		61	道（┐）	
		3		
２０海里作戦.データ.０１０４		61	道（│）	
		4		
２０海里作戦.データ.０１０５		61	道（│）	
		5		
２０海里作戦.データ.０１０６		61	道（└）	
		6		
２０海里作戦.データ.０１０７		61	箱	245
		12		
２０海里作戦.データ.０１０８		62	箱	241
		6		
２０海里作戦.データ.０１０９		62	道（─）	
		12		
２０海里作戦.データ.０１１０		63	道（─）	
		6		
２０海里作戦.データ.０１１１		63	道（┌）	
		11		
２０海里作戦.データ.０１１２		63	道（┘）	
		12		
２０海里作戦.データ.０１１３		64	道（┐）	
		6		
２０海里作戦.データ.０１１４		64	道（│）	
		7		
２０海里作戦.データ.０１１５		64	箱	242
		8		
２０海里作戦.データ.０１１６		64	道（─）	
		11		
２０海里作戦.データ.０１１７		65	道（─）	
		8		
２０海里作戦.データ.０１１８		65	道（─）	
		11		
２０海里作戦.データ.０１１９		66	道（┐）	
		8		
２０海里作戦.データ.０１２０		66	道（│）	
		9		
２０海里作戦.データ.０１２１		66	箱	250
		10		
