実績情報						
string Node Prefix	int 種類	string ボーナス	string 値.values	string 説明	int 隠し表示	int 値_2
クリアＡ　海から　　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／海	正史ルート.海から魔物界に上陸、魔人ケイブリスを撃破　		
クリアＡ　空から　　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／空	正史ルート.トッポスに引っ張らせてランス城で敵本拠地に突撃、ケイブリスを撃破　		
クリアＡ　強行突破　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／強行	正史ルート.魔物界を魔人討伐隊のみで突っ切り数体の魔人を撃退しケイブリスを撃破		
クリアＡ　魔物界大侵攻　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／魔物界	正史ルート.全地域奪還後に全人類軍で魔物界に攻め込みその隙にケイブリスを撃破		
クリアＢ　魔王を倒したが　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／魔王を倒したが	未完.魔王ケイブリスを倒したが・・・　		
クリアＢ　タイムカプセル　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／タイムカプセル	未完.魔王をタイムカプセルに入れるが魔軍が迫ってきた・・・　		
クリアＢ　地底大作戦　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／地底	未完.地底から敵本拠地を目指すも時間切れ、魔王美樹と対峙する・・・　		
クリアＢ　魔王美樹　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／魔王美樹	未完.ケイブリスを倒すが魔王美樹が覚醒した・・・　		
クリアＢ　神の真実　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／女神	未完.神々への挑戦、だが準備不足で女神に潰される・・・		
クリアＢ　異界の魔王　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／異界の魔王	未完.魔王美樹がスチールホラー軍勢を率いて現れた・・・		
クリアＣ　魔王ケイブリス　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／魔王ケイブリス	バッド.世界は魔王ケイブリスの物に・・・　		
クリアＣ　勇者の成就　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／勇者	バッド.勇者が成就達成したが世界は・・・　		
クリアＣ　人類滅亡　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／人類滅亡	バッド.全ての主要地域を魔軍に占領され人類は負けた・・・		
クリアＣ　敗北　　　　　　　　　　　★ＣＰ＋１	10	ＣＰ＋１	ルート／本戦敗北	バッド.残念ながら今のランス達では勝てなかった・・・		
達成(クリア時)　初クリア　　　　　　★継続プレイ解放	10	"\"""	ルート／初クリア	次からＣＰボーナスを選択可		
