秘書データ															
string Node Prefix	string つつく.values	string 待ち会話.values	string 進む.values	string 挨拶.values	string クエストクリア.values	string クエストアウト.values	string ＧＡＭＥＯＶＥＲ.values	string クエスト開始.values	string 準備.values	string 作戦.values	string 拠点.values	string 地域.values	string 冒険.values	string 食券.values	string 売店.values
アリス	おさわり禁止ですよ$ゆきちーーー	そろそろ$おやつの時間かな	あるこー$あるこー	アリスです$はりきっていきましょう	クエストクリア！$おめでとうございまーす！	気にしない気にしない$どんどん進めましょう	これって$ガメオベアて読むんだよ	作戦開始です、がんばりましょう！	何か大きな事をする前には$準備が必要なのです	作戦フェイズです$ガンガンいこー	拠点フェイズで$のんびり過ごしましょう	条件＜地域奪還＞　この地域はもう安全そう$よかったですね	はりきって冒険にいきましょー	食券フェイズで$皆さんの様子を見てみましょう	ゆきち、アイス買おうか？
	ゲームに集中して下さい	画面モードは……$１０２４＊７６８かも	てくてくいこー									条件＜地域滅亡＞　残念ながらこの地域はもう……		キャラクターイベントですね$男の子のイベントも見てあげてね	いろいろあるなー
	アリスソフトは$大阪に在ります	パソコン、パソコン！	お散歩好きです$とことこ									条件＜リーザス＞　リーザス王国$ランス１や３の舞台です			おっかいもの♪$おっかいもの♪
	諭吉$何しているのかしら？	ゲームは１日６時間まで（適当）	ぜんそくぜんしーん									条件＜ゼス＞　ゼス王国$ランス６の舞台です			
	触っちゃいけませーん	選択で悩んだ時は$そうセーブ（ＳＡＶＥ）です	まっすぐ進もー									条件＜ヘルマン＞　ヘルマン共和国$ランス９の舞台です			
	えっちな人は$めっ、ですよ	今夜の晩ご飯は$なににしようかな♪	れっつごー									条件＜自由都市＞　自由都市は……$ランス２かな？			
		ゲームに疲れたら$ちゃんと休憩しましょうね										何か作戦ありますか？			
		もしもーし？$……もしかして寝ちゃいました？													
ケイブワン＆ニャン	＜ケイブニャン＞触るんじゃないにゃー！	＜ケイブニャン＞退屈だにゃあ	＜ケイブニャン＞ごーごーにゃ！	＜ケイブニャン＞ニャン達が秘書してやるにゃ！$人間は感謝するにゃ！	＜ケイブニャン＞わーい、クリアにゃー！$$＜ケイブワン＞喜んでいいのかしら……	＜ケイブニャン＞いったん諦めるのかにゃ？$$＜ケイブワン＞そういう判断も必要わん	＜ケイブニャン＞やったー、人間の負けにゃー！$$＜ケイブワン＞くふふ、やったわん	＜ケイブニャン＞レッツゴーにゃー！$$＜ケイブワン＞よし、行くわん	＜ケイブニャン＞準備フェイズにゃ！$$＜ケイブワン＞準備は大事よねぇ	＜ケイブニャン＞作戦フェイズにゃ！$$＜ケイブワン＞重要な選択わん	＜ケイブニャン＞拠点フェイズでのんびりにゃ！$$＜ケイブワン＞どこに行くの？	＜ケイブニャン＞ここで作戦かにゃ？$$＜ケイブワン＞まあいいんじゃない？		＜ケイブニャン＞食券フェイズにゃー！$$＜ケイブワン＞みんなの生活覗き見わん？	
	＜ケイブニャン＞にゃっ！？$なんで頭撫でるにゃ！	＜ケイブニャン＞行かないのかにゃ？	＜ケイブニャン＞どばさーっと進むにゃ	＜ケイブワン＞知能派のワンにかかれば$秘書業務なんて軽い仕事だわん				条件＜最終決戦＞　これが最後の戦いにゃ！$リス様、頑張ってにゃん！$＜ケイブワン＞人間なんかに絶対負けないでわん			条件＜第７ターン＞　＜ケイブニャン＞あけましておめでとうにゃ！$$＜ケイブワン＞お正月なのねぇ	条件＜地域奪還＞　＜ケイブニャン＞ぐぬぬ……人間どもめぇ……$$＜ケイブワン＞魔軍の敗退なんて悲しいわん……		条件＜食券３枚＞　＜ケイブニャン＞食券が溜まってるにゃあ$$＜ケイブワン＞使わないともったいないわよ？	
	＜ケイブニャン＞こ、こら！$顎、顎すりすりはいかんにゃ……	＜ケイブニャン＞なにボケーッてしてるにゃ？	＜ケイブニャン＞どこ行くにゃー？	＜ケイブニャン＞わんにゃんコンビ、参上にゃ！$$＜ケイブワン＞……なんでワン達が秘書？								条件＜地域危機＞　＜ケイブニャン＞魔軍の皆がんばるにゃー！$$＜ケイブワン＞むふふ、もう少しで占領完了よ			
	＜ケイブニャン＞なんにゃ？$なんで鼻を触るにゃ？	＜ケイブニャン＞ふにぁぁぁん……$眠くなってきちまったにゃん……	＜ケイブワン＞じゃ、行きましょ									条件＜地域滅亡＞　＜ケイブニャン＞やったにゃ、魔軍の勝利にゃ$$＜ケイブワン＞ふふふ、みんなよくやったわん			
	＜ケイブワン＞わふん？$なんで頭撫でるわん？	＜ケイブワン＞何か行動しないのかわん？	＜ケイブワン＞散歩は好きわん、ふふふ……												
	＜ケイブワン＞うぐ……$ほっぺぐりぐりしないで欲しいわん	＜ケイブワン＞なんとかの考え休むに似たり……$って奴ね	＜ケイブワン＞てくてく……												
	＜ケイブワン＞私の鼻に触って$何か楽しいのかわん？	＜ケイブワン＞暇ね……													
	＜ケイブワン＞耳をぺたぺたーって$しないで欲しいわん	＜ケイブワン＞そろそろ行かない？													
	＜ケイブニャン＞触られたにゃ！？$$＜ケイブワン＞……スケベ	＜ケイブニャン＞ぼーっとしてどうしたにゃ？$$＜ケイブワン＞……眠いのかしら？													
	＜ケイブニャン＞スケベ、どこ触ってるにゃ！$$＜ケイブワン＞ニャンに何するわん	＜ケイブニャン＞おーい、何かしないのかにゃ？$$＜ケイブワン＞……人間は怠惰ね													
	＜ケイブニャン＞変なとこ触るにゃー！$$＜ケイブワン＞……なにしてるの？	＜ケイブニャン＞ぐうぐう……ぐうぐう……$$＜ケイブワン＞……退屈すぎてニャンが寝たわ													
サテラ	ん？　なんだ？	ん？　どうしたんだ？	よし、行くぞ！	まったく！$サテラに秘書をやらせるなんて！$なんて生意気な奴だ！	やるじゃないか！$それでこそサテラの使徒だ！	ふんっ……$今回はここまで、か……	そんな……$サテラは、サテラは……	よし、準備はいいな！$行くぞ、ランス！	準備フェイズだぞ$何をするんだ？	作戦フェイズだぞ$何をするか選べ、ランス	拠点フェイズだぞ$なにをするんだ？	ん？$この地域で作戦するのか？		食券フェイズだぞ$みんな、どんな生活してるのかな？	
	こら！$変なところを触るんじゃない！	おい、早く行くぞ	サテラについてこい！	ふん、お前の世話をしてやる$感謝しろよ				こんな作戦、$ちゃちゃっと終わらせるぞ！	条件＜第８ターン飛ぶ＞　まったく城を飛ばすとは……$相変わらず無茶苦茶だな……$どれ、城の様子でも見に行くか？	条件＜第８ターン飛ぶ＞　よし、ここからが後半戦だ$そろそろケイブリスを倒すぞ！	条件＜第７ターン＞　拠点フェイズだぞ$ん？$正月ってなんだ？	条件＜地域奪還＞　ここは既に奪還済みだ$うむ、さすがサテラの使徒$よくやった		条件＜サテラ発生中＞　ん……サテラがいるな……$べ、別に会いに来なくても$いいからな……ふんっ……	
	ひゃんっ！？	なんだボーッとして	キリキリと歩け！	えーと、秘書ってなにするんだ？				条件＜最終決戦＞　これが最後の戦いだ！$全て終わらせるぞ、ランス！	条件＜第１２ターン＞　ん？$海が現れたのか？$ま、サテラ達には関係ないな	条件＜第８ターン＞　城が奪われたか……$だが、この程度で負けは認めん……$行くぞ、ランス		条件＜地域滅亡＞　ちっ、魔軍の馬鹿どもめ……$我が物顔で歩きやがって……		条件＜ホーネット発生中＞　む、ホーネット様がいるな$お前が会いに行くなど恐れ多い$選択するなよ	
	ま、真面目にやれ！	ふわぁ……$退屈だな……	どんどん進むぞ！						条件＜ランス城は上陸地点＞　魔物界か……$こんな形で戻ってくるとはな……	条件＜ランス城は上陸地点＞　……ついに決戦か$行くぞ、ランス！		条件＜戦果なし＞　この国は守りがないが$これでいいのか？		条件＜食券３枚＞　なんだ三枚も溜め込んで$使わないともったいないぞ？	
	このばか！$サテラに触れるな！	（暇なので粘土こねこね中）	とっとと先に行くぞ！							条件＜第１２ターン＞　戦争が長引いている……$少し、まずい、かもな……					
	ど、どこを触ってるんだ！？	何か悩んでるなら、$この主に相談しろよ													
	ば、馬鹿使徒ー！$いいい、今、どこに触ったー！？	こんな所で$足踏みしている余裕はないぞ													
	て、手つきがいやらしいぞ！$このアホ！	部隊編成でもするか？													
		条件＜部隊ボーナス有り＞　おい、部隊ボーナスが貯まってるぞ？$ケチケチせずに使えよ													
		条件＜ＨＰ５０％以下＞　ちっ、疲労してる奴が多いな$このままだとまずいぞ													
シィル	ひんひん……$なんですか、ランス様？	ランス様？$どうかしましたか？	レッツゴー、です	秘書として一生懸命がんばります！	おめでとうございます！$ぱちぱち！	うう……$ちょっと残念な結果に$なっちゃいましたね……	おしまい……$です……	条件＜カラー救出＞　ランス様、$早速ウルザさん達の$ところに行ってみましょう	準備フェイズです。$ランス様、指示をお願いします	作戦フェイズです。$ランス様、作戦を選んで下さい	拠点フェイズです。$少しのんびりしましょう。	各地域の状況を確認します		あ、食券がありますね。$では、どなたと親交を深めますか？	
	あいたっ……$えと、どうかしましたか？	お疲れ様ですランス様$お茶を淹れますか？	慎重に進みましょう	ランス様の秘書のシィルちゃんです！				条件＜最終決戦＞　これが最後の戦い……$頑張りましょう、ランス様……	条件＜第１ターン＞　ランスさま…$じゃなくて、ランス総統閣下。$これから如何いたしますか？	条件＜第１ターン＞　先程の戦いお見事でしたランス様。$次はどうしますか？	条件＜第１ターン＞　拠点フェイズでは$城内でしたいことをなさって下さいね	こちらで作戦活動をしますか？		どなたかを選択して下さい。$あ、食券を次に持ち越すこともできますよ	
	あっ、$また髪の毛もふもふしますか……？	ハンカチとティッシュは$持ちましたか？	敵さんと会いませんように……					作戦開始です、がんばりましょう！	条件＜第２ターン＞　これから本格的な反撃作戦の開始ですね。$ランス様まずは如何なさいますか？	条件＜第２ターン＞　遂に魔人討伐作戦が始まるんですね……$ランス様、どの魔人の方と戦いますか？	条件＜第７ターン＞　ランス様$あけましておめでとうございます♪$お正月がやってきましたよ	条件＜地域奪還＞　この地域はもう安全ですよ$良かったですね、ランス様		皆さんの生活……$ちょっと覗いてみましょうか	
