秘書情報															
string Node Prefix	int フラグ	string プロフィール	string フルネーム	string レベル	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 画像名	string 年齢
シィル	1	Lv35 シィル													
ビスケッタ	1	Lv38 ビスケッタ													
バレス	1	Lv37 バレス													
志津香＆ナギ	1													立ち／子供志津香とナギ／基本	
志津香＆ナギ.プロフィール			志津香＆ナギ	４３	132 & 131cm	23 & 25kg	カスタム市民	魔法２	アスマーゼという女性を共通の母に持つ異父姉妹	志津香が父の仇ラガールに復讐し、ラガールの娘	ナギは志津香に復讐を誓った	不毛な復讐の連鎖は断たれ今はとっても仲良し	"\"""		
サテラ	1	魔人 サテラ													
ケイブワン＆ニャン	1													立ち／ケイブワン＆ニャン／基本	
ケイブワン＆ニャン.プロフィール			ケイブワン＆ニャン	13 & 8	131 & 128cm	29 & 15kg	使徒	"\"""	魔人ケイブリスによって生み出された	忠実なる２体の使徒	"\"""	ただしへっぽこ	"\"""		
長田君	2	Lv22 長田君												立ち／長田君２／基本	
リセット	2	Lv63 リセット												立ち／リセット２／基本	
母クルックー	2													立ち／クルックー２／基本	
母クルックー.プロフィール			クルックー・モフス	４０	１５８ｃｍ	？？	ＡＬ教法王　母	神魔法３、冒険１	ＡＬ教の法王。	"\"""	ＲＡ２年にあなたを出産し、	母としてあなたを今まで育ててきた	"\"""		３３歳
アリス	0														
アリス.プロフィール			アリス	？？	？？？	？？？	看板娘	？？？	こちらの画面から秘書を変更することが可能です	"\"""	キャラクターは随時追加されていきますので	楽しみにしてくださいね	"\"""		
