識別名情報								
string Node Prefix	string キャライベント１.values	string キャライベント２.values	string キャライベント３.values	int 裸イベント	string ランクアップ４０.values	string ランクアップ８０.values	string ランクアップ２０.values	string 説明
ランス	条件成立	条件成立	条件成立					
ビスケッタ	条件成立	条件成立	ビスケッタ抱く／実行済み	1	全裸カード　取得可能			
クリン	条件成立	ゼス１／実行済み	条件成立	1	全裸カード　取得可能			
ハイジ	条件成立	パットンが居る	条件成立	1	全裸カード　取得可能			
ロナ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
シィル	条件成立	条件成立	ヘルマン２／実行済み	1	全裸カード　取得可能			
あてな２号	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
量産型あてな２号	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
フロストバイン	条件成立	条件成立	条件不成立					
タマ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
クレイン	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ミラクル	条件成立	条件成立	条件成立	1	別カード　取得可能	全裸カード　取得可能		
ミステリア	条件成立	条件成立	条件不成立					
カフェ	条件成立	条件成立	日光とカオス／実行済み	1	別カード　取得可能	全裸カード　取得可能		
サーナキア	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
アルカネーゼ	条件成立	条件成立	条件成立	1	全裸カード　取得可能		別カード　取得可能	
キバ子	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
キャロリ	条件成立	条件成立	ガンジーが居る	1	全裸カード　取得可能			
アタゴ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
カロリア	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ノア	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
日光	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ルート	メリムが居る	条件成立	条件成立	1	全裸カード　取得可能			
アームズ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
クルーチェ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
リア	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
マリス	条件成立	条件成立	条件成立	1	別カード　取得可能	全裸カード　取得可能		
アールコート	条件成立	条件成立	条件成立	1	全裸カード　取得可能		別カード　取得可能	
バレス	条件成立	条件成立	条件成立					
ハウレーン	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
スー	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
コルドバ	条件成立	条件成立	条件成立					
リック	条件成立	条件成立	条件成立		別カード　取得可能			
メナド	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
エクス	条件成立	条件成立	条件成立					
キンケード	条件成立	条件成立	条件成立					
チルディ	条件成立	条件成立	ガールズショー正規優勝	1	全裸カード　取得可能			
レイラ	条件成立	条件成立	リーザス３／実行済み	1	全裸カード　取得可能			
ジュリア	条件成立	条件成立	ジュリア改造／実行済み	1	全裸カード　取得可能			
チャカ	条件成立	条件成立	自由都市健在					
メルフェイス	メルフェイスの呪い	メルフェイスの呪い	メルフェイスの呪い	1	全裸カード　取得可能			
かなみ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
あおい	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
オーギル	条件成立	条件成立	条件不成立					
イベット	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
シーラ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ペルエレ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
クリーム	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ヒューバート	条件成立	条件成立	条件成立		別カード　取得可能			
ロレックス	条件成立	条件成立	条件成立		別カード　取得可能			
オルオレ	条件成立	条件成立	条件成立					
アミトス	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
トルストイ	条件成立	条件成立	条件成立					
フレイア	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
闇鷺	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
アナセル	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ルーベラン	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
メリム	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
パットン	リーザス健在	条件成立	条件成立		別カード　取得可能			
サムソン	条件成立	条件成立	条件不成立					
デストラー	条件成立	条件成立	条件不成立					
イオ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ピグ	条件成立	条件成立	条件成立	1	全裸カード　取得可能		別カード　取得可能	
透琳	条件成立	条件成立	条件不成立					
マジック	条件成立	条件成立	ゼス２／実行済み	1	全裸カード　取得可能			
ウルザ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
千鶴子	条件成立	条件成立	ガンジーＣ／実行済み	1	全裸カード　取得可能			
アニス	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ガンジー	条件成立	条件成立	ガンジーの嫁			別カード　取得可能		
カオル	ガンジーが居る	ガンジーが居る	ガンジーが居る	1	全裸カード　取得可能			
ウィチタ	ガンジーが居る	ガンジーが居る	ガンジーが居る	1	全裸カード　取得可能			
リズナ	条件成立	リーザス２／実行済み	条件成立	1	別カード　取得可能	全裸カード　取得可能		
アレックス	ガンジーＣ／まだ	ガンジーＣ／まだ	ガンジーＣ／まだ		別カード　取得可能			
サイアス	条件成立	条件成立	条件成立					
ウスピラ	条件成立	パパイアが居る	条件成立	1	全裸カード　取得可能			
カバッハーン	条件成立	条件成立	条件成立					
ネルソン	条件成立	条件成立	パパイアが居る					
パパイア	条件成立	千鶴子エロ／実行済み	条件成立	1	全裸カード　取得可能			
パセリ	虎子が居る	条件成立	条件成立	1	全裸カード　取得可能			
エロピチャ	条件成立	条件成立	ガンジーＣ／実行済み	1	全裸カード　取得可能			
エレナ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
花屋エレナ	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
マルチナ	条件成立	条件成立	ガルティアが居る	1	全裸カード　取得可能			
ロッキー	条件成立	条件成立	条件成立					
キムチ	条件成立	パパイアが居る	条件成立	1	全裸カード　取得可能			
チョチョマン	条件成立	条件成立	条件成立					
ソルトアン	条件成立	条件成立	条件成立	1	全裸カード　取得可能			
ブラックロータス	条件成立	条件成立	条件成立					
コパンドン	条件成立	条件成立	条件成立	1	全裸カード　取得可能	別カード　取得可能		
ユーティン	条件成立	条件成立	パパイアが居る	1	全裸カード　取得可能			
