ＣＧ回想情報					
string Node Prefix	int チャプター	string イベント名	string 音楽	string イベントＣＧ.values	string フラグ
シィルのエロ	1	０２／シィルのエロ	"\"""	イベ／シィルのエロ１	
				イベ／シィルのエロ１／差分１	
				イベ／シィルのエロ１／差分２	
香姫のエロ	1	０３／香姫のエロ	"\"""	イベ／香姫のエロ	
				イベ／香姫のエロ／差分１	
				イベ／香姫のエロ／差分２	
荒れる円卓会議	1	０３／ランスがリーダー	"\"""	イベ／荒れる円卓会議	
アールコート捕獲	1	０４／アールコート捕獲	フィールド／優勢	イベ／アールコートのエロ	
				イベ／アールコートのエロ／差分１	
				イベ／アールコートのエロ／差分２	
				イベ／アールコートのエロ／差分３	
アニス拷問	1	４０１／アニス拷問	"\"""	イベ／アニスとエロ	
				イベ／アニスとエロ／差分１	
				イベ／アニスとエロ／差分２	
				イベ／アニスとエロ／差分３	
シルキィ陵辱	1	２１０／３１／シルキィ陵辱	"\"""	イベ／魔物に陵辱されるシルキィ	
				イベ／魔物に陵辱されるシルキィ／差分１	
				イベ／魔物に陵辱されるシルキィ／差分２	
				イベ／魔物に陵辱されるシルキィ／差分２	
				イベ／魔物に陵辱されるシルキィ／差分３	
シルキィ戦闘後	1	２１０／３４／シルキィ戦闘後	"\"""	イベ／シルキィ押し倒し	
				イベ／シルキィ押し倒し／差分１	
				イベ／シルキィ押し倒し／差分２	
				イベ／シルキィ押し倒し／差分３	
				イベ／シルキィ押し倒し／差分４	
				イベ／シルキィ押し倒し／差分５	
シルキィ捕獲	1	２１０／３４／シルキィ捕獲	ＡＤＶ／緊張	イベ／シルキィ押し倒し／差分５	
				イベ／シルキィ押し倒し／差分６	
				イベ／シルキィ押し倒し／差分７	
ハウゼルｖｓサイゼル	1	２１０／４２／順番待ち	フィールド／戦場	イベ／ハウゼルｖｓサイゼル	
ハウレーンのエロ	1	２１０／２／ハウレーンのエロ	"\"""	イベ／ハウレーンのエロ	
				イベ／ハウレーンのエロ／差分１	
				イベ／ハウレーンのエロ／差分２	
				イベ／ハウレーンのエロ／差分３	
				イベ／ハウレーンのエロ／差分４	
				イベ／ハウレーンのエロ／差分５	
				イベ／ハウレーンのエロ／差分６	
				イベ／ハウレーンのエロ／差分７	
メルフェイスのエロ	1	２１１／３／メルフェイスのエロ	フィールド／陣地	イベ／メルフェイスのエロ	
				イベ／メルフェイスのエロ／差分１	
				イベ／メルフェイスのエロ／差分２	
				イベ／メルフェイスのエロ／差分３	
				イベ／メルフェイスのエロ／差分４	
ニミッツのエロ	1	２１１／６／ニミッツのエロ	ＡＤＶ／不安	イベ／ニミッツのエロ	
				イベ／ニミッツのエロ／差分１	
				イベ／ニミッツのエロ／差分２	
				イベ／ニミッツのエロ／差分３	
ヨシフの館	1	２１２／ヨシフの館	"\"""	イベ／チルディのエロ	
				イベ／チルディのエロ／差分１	
				イベ／チルディのエロ／差分２	
				イベ／チルディのエロ／差分３	
				イベ／チルディのエロ／差分４	
				イベ／チルディのエロ／差分５	
ＤＸの会	1	２４０／１／ＤＸの会	フィールド／首都	イベ／性的接待	
セシル	1	２４０／５／セシル	フィールド／首都	イベ／セシルのエロ	
				イベ／セシルのエロ／差分１	
				イベ／セシルのエロ／差分２	
				イベ／セシルのエロ／差分３	
				イベ／セシルのエロ／差分４	
カチューシャその後	1	２４１／３／カチューシャその後	フィールド／首都	イベ／少女カチューシャのエロ	
				イベ／少女カチューシャのエロ／差分１	
				イベ／少女カチューシャのエロ／差分２	
				イベ／少女カチューシャのエロ／差分３	
				イベ／少女カチューシャのエロ／差分４	
				イベ／少女カチューシャのエロ／差分５	
ルートのエロ	1	２４１／５／ルートのエロ	"\"""	イベ／ルートのエロ／差分１	
				イベ／ルートのエロ／差分２	
				イベ／ルートのエロ／差分１	
				イベ／ルートのエロ／差分２	
				イベ／ルートのエロ／差分４	
				イベ／ルートのエロ／差分５	
				イベ／ルートのエロ／差分６	
性教育	1	２４２／性教育	フィールド／迷宮	イベ／マリアのエロ／差分１	
				イベ／マリアのエロ／差分１	
				イベ／マリアのエロ／差分２	
				イベ／マリアのエロ／差分３	
性教育／続き	1	２４３／性教育／続き	"\"""	イベ／マリアのエロ／差分４	
				イベ／マリアのエロ／差分５	
エレナのエロ	1	２３０／２／エレナのエロ	フィールド／ゼス	イベ／エレナのエロ	
				イベ／エレナのエロ／差分１	
				イベ／エレナのエロ／差分２	
				イベ／エレナのエロ／差分３	
				イベ／エレナのエロ／差分４	
千鶴子のエロ	1	２３０／４／千鶴子のエロ	フィールド／首都	イベ／千鶴子のエロ	
				イベ／千鶴子のエロ／差分１	
				イベ／千鶴子のエロ／差分２	
				イベ／千鶴子のエロ／差分３	
				イベ／千鶴子のエロ／差分４	
				イベ／千鶴子のエロ／差分５	
ガンジーの死	1	２３１／１／ガンジーの死	フィールド／ゼス	イベ／カオルウィチタの拷問	
				イベ／カオルウィチタの拷問	
マジックとの夜	1	２３１／３／マジックとの夜	"\"""	イベ／マジックのエロ	
				イベ／マジックのエロ／差分１	
				イベ／マジックのエロ／差分２	
リズナ悲惨	1	２３１／４／リズナ悲惨	"\"""	イベ／リズナの拷問	
魔人メディウサ１／戦闘前	1	２３１／４／魔人メディウサ１／戦闘前	"\"""	イベ／リズナの拷問／差分１	
ウルザ２	1	４０４／ウルザ２	"\"""	イベ／ウルザのエロ	
				イベ／ウルザのエロ／差分１	
				イベ／ウルザのエロ／差分２	
ラングバウ２	1	２２０／２／ラングバウ２	フィールド／首都	イベ／バボラ登場	
				イベ／バボラ登場／ズーム	
				イベ／バボラ登場／食事ズーム	
かなみ巨大化	1	２２０／３／かなみ巨大化	"\"""	イベ／巨大かなみ	
				イベ／巨大かなみ／差分１	
				イベ／バボラ登場／かなみ	
				イベ／バボラ登場／かなみズーム	
謙信とエロ	1	２２０／４／謙信とエロ	フィールド／陣地	イベ／謙信のエロ	
アナセルのエロ	1	２２０／４／アナセルその２	フィールド／ヘルマン	イベ／アナセルのエロ	
				イベ／アナセルのエロ／差分１	
				イベ／アナセルのエロ／差分２	
				イベ／アナセルのエロ／差分３	
バボラの顔	1	２２０／５／バボラの顔／戦闘前	フィールド／侵入	イベ／バボラの顔の前	
ダブル奴隷	1	２２１／２／二人の奴隷１	"\"""	イベ／ダブル奴隷	
				イベ／ダブル奴隷／差分１	
				イベ／ダブル奴隷／差分２	
				イベ／ダブル奴隷／差分３	
				イベ／ダブル奴隷／差分４	
				イベ／ダブル奴隷／差分５	
シーラのエロ	1	２２１／２／二人の奴隷２	フィールド／首都	イベ／シーラのエロ	
				イベ／シーラのエロ／差分１	
				イベ／シーラのエロ／差分２	
メイドのエロ	1	２２１／４／メイド戦闘その３／戦闘後	フィールド／侵入	イベ／メイドのエロ１	
				イベ／メイドのエロ１／差分１	
				イベ／メイドのエロ１／差分２	
				イベ／メイドのエロ１／差分３	
				イベ／メイドのエロ１／差分４	
ファーレン献身	1	２２１／４／ファーレン献身	フィールド／侵入	イベ／メイドのエロ２	
				イベ／メイドのエロ２／差分１	
				イベ／メイドのエロ２／差分２	
				イベ／メイドのエロ２／差分３	
				イベ／メイドのエロ２／差分４	
シャリエラ拷問	1	２５７／シャリエラ拷問	フィールド／侵入	イベ／シャリエラのエロ	アムが居る
				イベ／シャリエラのエロ／差分１	
				イベ／シャリエラのエロ／差分２	
				イベ／シャリエラのエロ／差分３	
				イベ／シャリエラのエロ／差分４	
				イベ／シャリエラのエロ／差分５	
				イベ／シャリエラのエロ／差分６	
				イベ／シャリエラのエロ／差分７	
				イベ／シャリエラのエロ／差分８	
				イベ／シャリエラのエロ／差分９	
サーナキア見舞い	1	１０／１／サーナキア見舞い	ＡＤＶ／真面目	イベ／サーナキアのエロ	
				イベ／サーナキアのエロ／差分１	
				イベ／サーナキアのエロ／差分２	
				イベ／サーナキアのエロ／差分３	
パステル見舞い	1	１０／２／パステル見舞い	ＡＤＶ／真面目	イベ／パステルのエロ	
				イベ／パステルのエロ／差分１	
				イベ／パステルのエロ／差分２	
				イベ／パステルのエロ／差分３	
				イベ／パステルのエロ／差分４	
				イベ／パステルのエロ／差分５	
				イベ／パステルのエロ／差分６	
				イベ／パステルのエロ／差分７	
				イベ／パステルのエロ／差分８	
				イベ／パステルのエロ／差分９	
				イベ／パステルのエロ／差分１０	
戦闘／パットン参加	1	１０／戦闘／パットン参加	戦闘／魔人ボス	イベ／パットン参上	
				イベ／パットン参上／差分１	
				イベ／パットン参上／差分２	
				イベ／パットン参上／差分３	
				イベ／パットン参上／差分４	
ランス城飛ぶ	1	"\"""		イベ／ランス城飛ぶ	
				イベ／ランス城飛ぶ／平穏	
